heatingHomeDwellingType,heatingHomeNoOfBedrooms,heatingHomeFuel,heatingHomeAge,heatingType,heatingKgCO2Year,units,heatingSource,default
Semi-detached Bungalow,3,Electricity,1930 - 1995,old storage heaters (large volume),8850,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),7660,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,Pre 1930,Modern storage heaters (slim line),10801,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,Pre 1930,old storage heaters (large volume),10801,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),9222,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,Post 1995,Modern storage heaters (slim line),6553,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,Post 1995,old storage heaters (large volume),6553,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Electricity,Post 1995,room heaters (convector panel or radiant heaters),5780,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),4854,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Boiler (average - 5-10yrs old),4045,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),3734,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Room Heaters,5666,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Warm Air,4161,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Back boiler,4481,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,1930 - 1995,Boiler (Condensing),3310,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),5851,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Boiler (average - 5-10yrs old),4875,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Boiler (new - less than 5 yrs old),4500,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Room Heaters,6696,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Warm Air,5015,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Back boiler,5401,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Pre 1930,Boiler (Condensing),3989,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Boiler (old - 12 - 15yrs old),3655,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Boiler (average - 5-10yrs old),3046,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Boiler (new - less than 5 yrs old),2811,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Room Heaters,4425,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Warm Air,3133,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Back boiler,3374,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,3,Gas,Post 1995,Boiler (Condensing),2492,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),6562,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,1930 - 1995,Boiler (average - 5-10yrs old),5332,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),5018,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,1930 - 1995,Room Heaters,8066,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,1930 - 1995,Boiler (Condensing),4739,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,1930 - 1995,Warm Air,6093,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),7895,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Pre 1930,Boiler (average - 5-10yrs old),6414,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Pre 1930,Boiler (new - less than 5 yrs old),6037,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Pre 1930,Room Heaters,9641,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Pre 1930,Boiler (Condensing),5702,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Pre 1930,Warm Air,7331,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Post 1995,Boiler (old - 12 - 15yrs old),4940,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Post 1995,Boiler (average - 5-10yrs old),4014,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Post 1995,Boiler (new - less than 5 yrs old),3778,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Post 1995,Room Heaters,6149,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Post 1995,Boiler (Condensing),3568,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Oil,Post 1995,Warm Air,4587,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),6146,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,1930 - 1995,Boiler (average - 5-10yrs old),5122,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),4610,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,1930 - 1995,Boiler (Condensing),4191,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),7408,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Pre 1930,Boiler (average - 5-10yrs old),6173,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Pre 1930,Boiler (new - less than 5 yrs old),5556,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Pre 1930,Boiler (Condensing),5051,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Post 1995,Boiler (old - 12 - 15yrs old),4628,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Post 1995,Boiler (average - 5-10yrs old),3856,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Post 1995,Boiler (new - less than 5 yrs old),3471,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,LPG,Post 1995,Boiler (Condensing),3155,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Biomass,1930 - 1995,Boiler (wood chip/pellets),726,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Biomass,1930 - 1995,Stove,2652,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Biomass,Pre 1930,Boiler (wood chip/pellets),884,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Biomass,Pre 1930,Stove,2811,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Biomass,Post 1995,Boiler (wood chip/pellets),538,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Biomass,Post 1995,Stove,2465,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,1930 - 1995,Modern storage heaters (slim line),10211,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,1930 - 1995,old storage heaters (large volume),10211,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),8839,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,Pre 1930,Modern storage heaters (slim line),12463,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,Pre 1930,old storage heaters (large volume),12463,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),10641,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,Post 1995,Modern storage heaters (slim line),7561,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,Post 1995,old storage heaters (large volume),7561,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Electricity,Post 1995,room heaters (convector panel or radiant heaters),6669,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,1930 - 1995,Boiler - manual feed,10466,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,1930 - 1995,Boiler automatic (gravity) feed,9594,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,1930 - 1995,Open fires,16408,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,1930 - 1995,Closed room heaters,9719,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Pre 1930,Boiler - manual feed,12753,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Pre 1930,Boiler automatic (gravity) feed,11690,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Pre 1930,Open fires,20338,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Pre 1930,Closed room heaters,11814,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Post 1995,Boiler - manual feed,7762,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Post 1995,Boiler automatic (gravity) feed,7115,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Post 1995,Open fires,11759,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Coal,Post 1995,Closed room heaters,7240,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),5601,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Boiler (average - 5-10yrs old),4668,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),4309,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Room Heaters,6537,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Warm Air,4801,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Back boiler,5170,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,1930 - 1995,Boiler (Condensing),3819,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),6751,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Boiler (average - 5-10yrs old),5626,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Boiler (new - less than 5 yrs old),5193,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Room Heaters,7727,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Warm Air,5786,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Back boiler,6231,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Pre 1930,Boiler (Condensing),4603,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Boiler (old - 12 - 15yrs old),4217,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Boiler (average - 5-10yrs old),3514,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Boiler (new - less than 5 yrs old),3244,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Room Heaters,5106,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Warm Air,3615,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Back boiler,3893,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,4,Gas,Post 1995,Boiler (Condensing),2875,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),7389,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,1930 - 1995,Boiler (average - 5-10yrs old),6003,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),5650,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,1930 - 1995,Room Heaters,9082,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,1930 - 1995,Boiler (Condensing),5336,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,1930 - 1995,Warm Air,6861,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),8890,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Pre 1930,Boiler (average - 5-10yrs old),7223,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Pre 1930,Boiler (new - less than 5 yrs old),6798,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Pre 1930,Room Heaters,10856,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Pre 1930,Boiler (Condensing),6421,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Pre 1930,Warm Air,8255,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Post 1995,Boiler (old - 12 - 15yrs old),5563,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Post 1995,Boiler (average - 5-10yrs old),4520,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Post 1995,Boiler (new - less than 5 yrs old),4254,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Post 1995,Room Heaters,6924,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Post 1995,Boiler (Condensing),4018,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Oil,Post 1995,Warm Air,5165,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),6921,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,1930 - 1995,Boiler (average - 5-10yrs old),5767,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),5191,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,1930 - 1995,Boiler (Condensing),4719,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),8342,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Pre 1930,Boiler (average - 5-10yrs old),6951,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Pre 1930,Boiler (new - less than 5 yrs old),6256,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Pre 1930,Boiler (Condensing),5687,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Post 1995,Boiler (old - 12 - 15yrs old),5211,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Post 1995,Boiler (average - 5-10yrs old),4342,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Post 1995,Boiler (new - less than 5 yrs old),3908,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,LPG,Post 1995,Boiler (Condensing),3553,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Biomass,1930 - 1995,Boiler (wood chip/pellets),817,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Biomass,1930 - 1995,Stove,2987,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Biomass,Pre 1930,Boiler (wood chip/pellets),996,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Biomass,Pre 1930,Stove,3165,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Biomass,Post 1995,Boiler (wood chip/pellets),606,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Biomass,Post 1995,Stove,2775,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,1930 - 1995,Modern storage heaters (slim line),11499,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,1930 - 1995,old storage heaters (large volume),11499,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),9953,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,Pre 1930,Modern storage heaters (slim line),14034,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,Pre 1930,old storage heaters (large volume),14034,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),11983,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,Post 1995,Modern storage heaters (slim line),8515,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,Post 1995,old storage heaters (large volume),8515,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Electricity,Post 1995,room heaters (convector panel or radiant heaters),7510,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,1930 - 1995,Boiler - manual feed,11786,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,1930 - 1995,Boiler automatic (gravity) feed,10804,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,1930 - 1995,Open fires,18478,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,1930 - 1995,Closed room heaters,10945,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Pre 1930,Boiler - manual feed,14361,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Pre 1930,Boiler automatic (gravity) feed,13164,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Pre 1930,Open fires,22902,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Pre 1930,Closed room heaters,13304,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Post 1995,Boiler - manual feed,8740,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Post 1995,Boiler automatic (gravity) feed,8012,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Post 1995,Open fires,13242,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Coal,Post 1995,Closed room heaters,8152,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),6307,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Boiler (average - 5-10yrs old),5256,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),4852,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Room Heaters,7362,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Warm Air,5406,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Back boiler,5822,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,1930 - 1995,Boiler (Condensing),4300,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),7602,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Boiler (average - 5-10yrs old),6335,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Boiler (new - less than 5 yrs old),5848,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Room Heaters,8701,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Warm Air,6516,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Back boiler,7017,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Pre 1930,Boiler (Condensing),5183,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Boiler (old - 12 - 15yrs old),4749,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Boiler (average - 5-10yrs old),3957,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Boiler (new - less than 5 yrs old),3653,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Room Heaters,5750,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Warm Air,4070,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Back boiler,4383,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,5,Gas,Post 1995,Boiler (Condensing),3238,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),8217,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,1930 - 1995,Boiler (average - 5-10yrs old),6676,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),6283,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,1930 - 1995,Room Heaters,10100,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,1930 - 1995,Boiler (Condensing),5934,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,1930 - 1995,Warm Air,7630,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),9885,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Pre 1930,Boiler (average - 5-10yrs old),8032,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Pre 1930,Boiler (new - less than 5 yrs old),7559,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Pre 1930,Room Heaters,12072,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Pre 1930,Boiler (Condensing),7140,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Pre 1930,Warm Air,9179,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Post 1995,Boiler (old - 12 - 15yrs old),6186,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Post 1995,Boiler (average - 5-10yrs old),5026,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Post 1995,Boiler (new - less than 5 yrs old),4731,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Post 1995,Room Heaters,7700,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Post 1995,Boiler (Condensing),4468,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Oil,Post 1995,Warm Air,5744,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),7696,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,1930 - 1995,Boiler (average - 5-10yrs old),6414,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),5772,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,1930 - 1995,Boiler (Condensing),5247,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),9276,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Pre 1930,Boiler (average - 5-10yrs old),7730,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Pre 1930,Boiler (new - less than 5 yrs old),6957,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Pre 1930,Boiler (Condensing),6325,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Post 1995,Boiler (old - 12 - 15yrs old),5795,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Post 1995,Boiler (average - 5-10yrs old),4829,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Post 1995,Boiler (new - less than 5 yrs old),4346,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,LPG,Post 1995,Boiler (Condensing),3951,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Biomass,1930 - 1995,Boiler (wood chip/pellets),909,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Biomass,1930 - 1995,Stove,3321,kgCO2/year,defra/BRE/dgen 2007,
Semi-detached Bungalow,more than 5,Biomass,Pre 1930,Boiler (wood chip/pellets),1107,kgCO2/year,defra/BRE/dgen 2007,
