,,,,,,,,,,,,,,,,,,
,"Data and listings used in the calculation of N2O emissions",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table XX. The base N2O emission factors supplied by IPCC, diferentiated by sector",,,,,,,,,,,,,,,,,,
,,"Default EFs for N20 (kg N2O/ TJ fuel). LHV/NCV basis",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table xx. Institutional",,,,,,,,,,,,,,,,,,
,"Fuel","Default EFs for N2O (kg N2O/ TJ fuel). LHV/NCV basis","LHV (IPCC default)","Product of EF and LHV","Fuel density","Final emission factor (assuming fuel consumption data has been measured in litres)",,,,,,,,,,,,
,"Crude oil",6.00E-001,4.23E+001,2.54E+001,8.00E-001,2.03E-008,,,,,,,,,,,,
,"Motor gasoline",6.00E-001,4.43E+001,2.66E+001,7.40E-001,1.97E-008,,,,,,,,,,,,
,"Aviation gasoline",6.00E-001,4.43E+001,2.66E+001,7.10E-001,1.89E-008,,,,,,,,,,,,
,"Jet kerosene",6.00E-001,4.41E+001,2.65E+001,7.90E-001,2.09E-008,,,,,,,,,,,,
,"Other kerosene",6.00E-001,4.38E+001,2.63E+001,8.00E-001,2.10E-008,,,,,,,,,,,,
,"Shale oil",6.00E-001,3.81E+001,2.29E+001,1.00E+000,2.29E-008,,,,,,,,,,,,
,"Gas/Diesel oil",6.00E-001,4.30E+001,2.58E+001,8.40E-001,2.17E-008,,,,,,,,,,,,
,"Residual fuel oil",6.00E-001,4.04E+001,2.42E+001,9.40E-001,2.28E-008,,,,,,,,,,,,
,"Liquified Petroleum Gases",1.00E-001,4.73E+001,4.73E+000,5.40E-001,2.55E-009,,,,,,,,,,,,
,"Naphtha",6.00E-001,4.45E+001,2.67E+001,7.70E-001,2.06E-008,,,,,,,,,,,,
,"Lubricants",6.00E-001,4.02E+001,2.41E+001,1.00E+000,2.41E-008,,,,,,,,,,,,
,"Table name = 'institutionalLiquidEFsN2O'",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table xx. Residential",,,,,,,,,,,,,,,,,,
,"Fuel","Default EFs for N2O (kg N2O/ TJ fuel). LHV/NCV basis","LHV (IPCC default)","Product of EF and LHV","Fuel density","Final emission factor (assuming fuel consumption data has been measured in litres)",,,,,,,,,,,,
,"Crude oil",6.00E-001,4.23E+001,2.54E+001,8.00E-001,2.03E-008,,,,,,,,,,,,
