appliancesDevice,appliancesRating,appliancesAge,appliancesKWhPerYear,appliancesKWhPerCycle,units,appliancesSource,algorithm,default
Washing machine (90),D,up to 12 years,0,2.317,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),E,up to 12 years,0,2.502,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),F,up to 12 years,0,2.687,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),G,up to 12 years,0,2.873,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),Other,up to 12 years,0,1.799,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine (90),A+,over 12 years,0,1.38,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),A,over 12 years,0,1.54,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),B,over 12 years,0,1.71,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),C,over 12 years,0,1.87,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),D,over 12 years,0,2.03,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),E,over 12 years,0,2.19,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),F,over 12 years,0,2.35,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),G,over 12 years,0,2.52,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine (90),Other,over 12 years,0,2.15,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Personal Computers,Desktop,-,425.9,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfDesktops*fuel_electricity,default
Personal Computers,Laptop,-,69.07,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfLaptops*fuel_electricity,
Printer,Inkjet,-,26.17,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Printer,Laser,-,149.54,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Set-top boxes,Cable,-,141.81,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfCableBoxes*fuel_electricity,
Set-top boxes,Satellite,-,159.39,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfSatelliteBoxes*fuel_electricity,
Set-top boxes,Freeview box,-,60.34,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfFreeviewBoxes*fuel_electricity,
Video,DVD,-,28.76,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfDVDs*fuel_electricity,
Video,VCR,-,40.31,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfVCRs*fuel_electricity,
Video,HDD,-,159.39,0,kWh/year,MTP/defra/amee 2008,value*user_numberOfHDDs*fuel_electricity,
PSU,0 - 4,-,47,0,kWh/year,MTP/defra/amee 2007,value,
PSU,5 - 8,-,81.42,0,kWh/year,MTP/defra/amee 2008,value,
PSU,9 or more,-,135.7,0,kWh/year,MTP/defra/amee 2008,value,
PSU,0,-,0,0,kWh/year,MTP/defra/amee 2008,value,
PSU,1 - 4,-,27.14,0,kWh/year,MTP/defra/amee 2008,value,
Personal Computers,MFD,-,70.36,0,kWh/year,MTP/defra/amee 2008,value,
